##########################################################################################################################

################################################### For binary BoW #######################################################

Optimizing for label: toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.939     | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9418    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9427    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9377    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.9012    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9231    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9314    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9221    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9417    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9289    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9412    | 0.8192    | 0.9493    | 3.826     | 2.011     | 1.0       |
| 12        | 0.9409    | 1.38      | 1.0       | 4.416     | 1.0       | 1.0       |
| 13        | 0.938     | 0.2384    | 0.7       | 5.0       | 2.553     | 1.0       |
| 14        | 0.9348    | 0.09572   | 0.7319    | 2.125     | 2.376     | 1.0       |
| 15        | 0.9322    | 2.814     | 1.0       | 5.0       | 1.501     | 1.0       |
| 16        | 0.9411    | 2.436     | 1.0       | 1.791     | 3.0       | 1.0       |
| 17        | 0.9354    | 2.157     | 1.0       | 1.0       | 1.735     | 1.0       |
| 18        | 0.9411    | 2.568     | 1.0       | 3.528     | 3.0       | 1.0       |
| 19        | 0.9324    | 5.803     | 0.9557    | 4.726     | 2.947     | 1.0       |
| 20        | 0.9405    | 3.578     | 0.7       | 2.627     | 3.0       | 1.0       |
| 21        | 0.9373    | 0.07175   | 0.7547    | 3.15      | 1.002     | 1.0       |
| 22        | 0.9405    | 1.428     | 0.7       | 2.605     | 3.0       | 1.0       |
| 23        | 0.9403    | 3.726     | 0.7       | 1.0       | 3.0       | 1.0       |
| 24        | 0.8784    | 10.0      | 0.7       | 5.0       | 1.0       | 1.0       |
| 25        | 0.916     | 10.0      | 1.0       | 1.0       | 3.0       | 1.0       |
| 26        | 0.9251    | 0.01      | 0.7       | 1.0       | 1.0       | 1.0       |
| 27        | 0.9406    | 3.496     | 0.7       | 5.0       | 3.0       | 1.0       |
| 28        | 0.9111    | 5.455     | 0.7       | 5.0       | 1.0       | 1.0       |
| 29        | 0.9319    | 6.626     | 1.0       | 3.278     | 3.0       | 1.0       |
| 30        | 0.9256    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 31        | 0.9408    | 1.842     | 1.0       | 5.0       | 3.0       | 1.0       |
| 32        | 0.9264    | 0.01      | 1.0       | 3.734     | 3.0       | 1.0       |
| 33        | 0.9389    | 4.492     | 0.7       | 3.787     | 3.0       | 1.0       |
| 34        | 0.928     | 3.075     | 0.7       | 2.384     | 1.0       | 1.0       |
| 35        | 0.9411    | 2.331     | 0.7       | 1.0       | 3.0       | 1.0       |
| 36        | 0.9361    | 0.1362    | 0.7702    | 1.019     | 2.995     | 1.0       |
| 37        | 0.9408    | 3.333     | 0.7       | 3.99      | 3.0       | 1.0       |
| 38        | 0.9434    | 1.057     | 1.0       | 5.0       | 1.92      | 1.0       |
| 39        | 0.9382    | 4.805     | 1.0       | 1.0       | 3.0       | 1.0       |
| 40        | 0.943     | 0.999     | 1.0       | 3.483     | 1.0       | 1.0       |
| 41        | 0.9391    | 4.404     | 1.0       | 5.0       | 3.0       | 1.0       |
| 42        | 0.9418    | 1.347     | 0.9785    | 1.937     | 2.1       | 1.0       |
| 43        | 0.944     | 0.7417    | 0.7178    | 3.857     | 1.341     | 1.0       |
| 44        | 0.9419    | 1.222     | 0.7164    | 2.313     | 1.03      | 1.0       |
| 45        | 0.9411    | 2.51      | 0.7       | 2.613     | 3.0       | 1.0       |
| 46        | 0.9406    | 1.543     | 0.7       | 1.737     | 3.0       | 1.0       |
| 47        | 0.9435    | 0.9098    | 0.9937    | 4.318     | 1.556     | 1.0       |
| 48        | 0.8729    | 10.0      | 1.0       | 1.0       | 1.0       | 1.0       |
| 49        | 0.9403    | 3.746     | 1.0       | 3.401     | 3.0       | 1.0       |
| 50        | 0.9404    | 3.709     | 1.0       | 1.771     | 3.0       | 1.0       |
| 51        | 0.9291    | 7.321     | 1.0       | 1.0       | 3.0       | 1.0       |
| 52        | 0.9439    | 0.8132    | 1.0       | 2.681     | 1.54      | 1.0       |
| 53        | 0.9398    | 0.9698    | 1.0       | 5.0       | 3.0       | 1.0       |
| 54        | 0.9432    | 0.9834    | 0.7       | 2.545     | 1.798     | 1.0       |
| 55        | 0.9443    | 0.427     | 1.0       | 3.666     | 1.421     | 1.0       |
| 56        | 0.941     | 3.048     | 1.0       | 1.0       | 3.0       | 1.0       |
| 57        | 0.9409    | 1.86      | 0.7       | 4.073     | 3.0       | 1.0       |
| 58        | 0.9417    | 1.294     | 0.7135    | 4.995     | 2.163     | 1.0       |
| 59        | 0.941     | 2.877     | 1.0       | 4.614     | 3.0       | 1.0       |
| 60        | 0.9436    | 0.8712    | 0.7       | 3.096     | 1.339     | 1.0       |
=====================================================================================
Best parameters for label toxic: {'alpha': 0.4270130129826107, 'max_df': 1.0, 'min_df': 3, 'ngram_range': (1, 1)}
Optimizing for label: severe_toxic
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9333    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9584    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.966     | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9274    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.8782    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9016    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9128    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9002    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.963     | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9091    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9597    | 0.01998   | 0.9413    | 4.557     | 2.939     | 1.0       |
| 12        | 0.9549    | 0.01      | 1.0       | 1.0       | 1.645     | 1.0       |
| 13        | 0.956     | 0.01      | 1.0       | 2.308     | 3.0       | 1.0       |
| 14        | 0.942     | 1.271     | 0.7       | 5.0       | 1.0       | 1.0       |
| 15        | 0.9161    | 5.727     | 1.0       | 5.0       | 3.0       | 1.0       |
| 16        | 0.9606    | 0.02515   | 0.8508    | 3.194     | 1.007     | 1.0       |
| 17        | 0.9503    | 2.251     | 1.0       | 5.0       | 3.0       | 1.0       |
| 18        | 0.9427    | 2.915     | 1.0       | 1.0       | 3.0       | 1.0       |
| 19        | 0.8614    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 20        | 0.9702    | 0.1223    | 0.8596    | 1.01      | 2.788     | 1.0       |
| 21        | 0.9553    | 0.01      | 0.7       | 3.74      | 2.087     | 1.0       |
| 22        | 0.9551    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 23        | 0.97      | 0.6755    | 0.9754    | 4.996     | 2.126     | 1.0       |
| 24        | 0.9672    | 0.9607    | 1.0       | 5.0       | 3.0       | 1.0       |
| 25        | 0.9723    | 0.4322    | 0.9968    | 1.061     | 2.972     | 1.0       |
| 26        | 0.9553    | 0.01      | 1.0       | 5.0       | 2.131     | 1.0       |
| 27        | 0.9668    | 0.9853    | 1.0       | 3.968     | 3.0       | 1.0       |
| 28        | 0.931     | 1.67      | 1.0       | 1.0       | 1.0       | 1.0       |
| 29        | 0.9726    | 0.5484    | 0.7       | 1.0       | 3.0       | 1.0       |
| 30        | 0.9694    | 0.7246    | 0.7078    | 4.689     | 2.546     | 1.0       |
| 31        | 0.9679    | 0.8456    | 1.0       | 4.441     | 2.339     | 1.0       |
| 32        | 0.8914    | 10.0      | 0.7       | 1.0       | 3.0       | 1.0       |
| 33        | 0.9561    | 0.01      | 0.7       | 1.0       | 3.0       | 1.0       |
| 34        | 0.9717    | 0.512     | 0.7       | 1.533     | 2.334     | 1.0       |
| 35        | 0.8859    | 5.11      | 0.7389    | 4.984     | 1.025     | 1.0       |
| 36        | 0.9693    | 0.7335    | 0.939     | 1.0       | 2.514     | 1.0       |
| 37        | 0.9394    | 3.215     | 0.7       | 2.813     | 3.0       | 1.0       |
| 38        | 0.9624    | 1.278     | 0.7182    | 2.481     | 2.971     | 1.0       |
| 39        | 0.955     | 0.01      | 1.0       | 2.207     | 1.885     | 1.0       |
| 40        | 0.9694    | 0.7227    | 0.8194    | 1.783     | 2.992     | 1.0       |
| 41        | 0.8999    | 3.701     | 1.0       | 1.0       | 1.0       | 1.0       |
| 42        | 0.9727    | 0.2957    | 0.9931    | 1.259     | 2.564     | 1.0       |
| 43        | 0.9723    | 0.5748    | 0.7       | 3.231     | 3.0       | 1.0       |
| 44        | 0.9727    | 0.2989    | 0.7       | 1.0       | 2.363     | 1.0       |
| 45        | 0.9687    | 0.774     | 0.9986    | 3.258     | 2.979     | 1.0       |
| 46        | 0.9691    | 0.7573    | 0.705     | 2.354     | 2.627     | 1.0       |
| 47        | 0.9645    | 0.2961    | 0.7185    | 4.087     | 1.012     | 1.0       |
| 48        | 0.9716    | 0.5213    | 0.7011    | 1.101     | 2.646     | 1.0       |
| 49        | 0.9559    | 0.6174    | 0.7       | 2.22      | 1.0       | 1.0       |
| 50        | 0.9625    | 1.278     | 1.0       | 5.0       | 2.336     | 1.0       |
| 51        | 0.973     | 0.4975    | 0.7       | 3.912     | 3.0       | 1.0       |
| 52        | 0.9347    | 3.657     | 0.7       | 5.0       | 3.0       | 1.0       |
| 53        | 0.9718    | 0.1491    | 1.0       | 3.541     | 3.0       | 1.0       |
| 54        | 0.953     | 0.7286    | 1.0       | 3.605     | 1.0       | 1.0       |
| 55        | 0.9547    | 0.6739    | 0.7       | 4.611     | 1.762     | 1.0       |
| 56        | 0.8577    | 10.0      | 0.7       | 1.0       | 1.0       | 1.0       |
| 57        | 0.9549    | 0.01      | 1.0       | 4.108     | 1.0       | 1.0       |
| 58        | 0.9016    | 7.943     | 0.7       | 5.0       | 3.0       | 1.0       |
| 59        | 0.9477    | 2.427     | 0.7887    | 3.995     | 2.8       | 1.0       |
| 60        | 0.9148    | 2.832     | 1.0       | 5.0       | 1.0       | 1.0       |
=====================================================================================
Best parameters for label severe_toxic: {'alpha': 0.4975355206730156, 'max_df': 0.7, 'min_df': 3, 'ngram_range': (1, 3)}
Optimizing for label: obscene
|   iter    |  target   |   alpha   |  max_df   |  min_df   | ngram_... | ngram_... |
-------------------------------------------------------------------------------------
| 1         | 0.9477    | 3.752     | 0.9852    | 3.928     | 2.197     | 1.0       |
| 2         | 0.9581    | 1.568     | 0.7174    | 4.465     | 2.202     | 1.0       |
| 3         | 0.9557    | 0.2156    | 0.991     | 4.33      | 1.425     | 1.0       |
| 4         | 0.9422    | 1.842     | 0.7913    | 3.099     | 1.864     | 1.0       |
| 5         | 0.8959    | 6.122     | 0.7418    | 2.169     | 1.733     | 1.0       |
| 6         | 0.9193    | 7.854     | 0.7599    | 3.057     | 2.185     | 1.0       |
| 7         | 0.9314    | 6.079     | 0.7512    | 1.26      | 2.898     | 1.0       |
| 8         | 0.9177    | 8.086     | 0.7914    | 1.391     | 2.368     | 1.0       |
| 9         | 0.9586    | 1.229     | 0.8486    | 1.138     | 2.819     | 1.0       |
| 10        | 0.9277    | 6.629     | 0.7935    | 3.08      | 2.093     | 1.0       |
| 11        | 0.9568    | 0.4038    | 0.9224    | 4.31      | 2.936     | 1.0       |
| 12        | 0.9399    | 0.01487   | 0.9128    | 2.304     | 3.0       | 1.0       |
| 13        | 0.9558    | 2.611     | 1.0       | 1.0       | 3.0       | 1.0       |
| 14        | 0.9421    | 2.071     | 1.0       | 5.0       | 1.0       | 1.0       |
| 15        | 0.9429    | 1.797     | 1.0       | 1.0       | 1.446     | 1.0       |
| 16        | 0.9547    | 2.518     | 0.9743    | 4.983     | 2.888     | 1.0       |
| 17        | 0.9378    | 5.474     | 1.0       | 5.0       | 3.0       | 1.0       |
| 18        | 0.9587    | 0.8255    | 0.9997    | 4.992     | 2.621     | 1.0       |
| 19        | 0.8742    | 10.0      | 1.0       | 5.0       | 1.0       | 1.0       |
| 20        | 0.9369    | 0.01      | 0.7       | 1.0       | 1.0       | 1.0       |
| 21        | 0.9543    | 2.935     | 0.7       | 2.903     | 3.0       | 1.0       |
| 22        | 0.9374    | 0.01      | 0.7       | 5.0       | 1.0       | 1.0       |
| 23        | 0.909     | 4.723     | 0.7778    | 4.992     | 1.027     | 1.0       |
| 24        | 0.9585    | 1.77      | 1.0       | 3.882     | 3.0       | 1.0       |
| 25        | 0.9443    | 4.54      | 1.0       | 3.158     | 3.0       | 1.0       |
| 26        | 0.937     | 0.01      | 0.7       | 3.135     | 1.0       | 1.0       |
| 27        | 0.9583    | 1.856     | 1.0       | 1.987     | 3.0       | 1.0       |
| 28        | 0.9521    | 3.341     | 0.7       | 4.201     | 3.0       | 1.0       |
| 29        | 0.9078    | 10.0      | 1.0       | 1.0       | 3.0       | 1.0       |
| 30        | 0.9587    | 0.8183    | 1.0       | 4.145     | 2.176     | 1.0       |
| 31        | 0.9583    | 1.859     | 0.7       | 1.0       | 3.0       | 1.0       |
| 32        | 0.9343    | 0.01      | 1.0       | 4.826     | 2.336     | 1.0       |
| 33        | 0.959     | 1.44      | 0.7       | 5.0       | 3.0       | 1.0       |
| 34        | 0.9475    | 4.072     | 0.7       | 1.0       | 3.0       | 1.0       |
| 35        | 0.9524    | 0.9758    | 1.0       | 4.172     | 1.0       | 1.0       |
| 36        | 0.9374    | 0.01      | 1.0       | 1.0       | 3.0       | 1.0       |
| 37        | 0.9251    | 7.264     | 0.7       | 5.0       | 3.0       | 1.0       |
| 38        | 0.959     | 0.9687    | 0.7       | 3.416     | 3.0       | 1.0       |
| 39        | 0.9587    | 1.19      | 0.9964    | 4.306     | 2.859     | 1.0       |
